text,sentiment
The account was created #255,Neutral
The report was submitted #214,Neutral
This is the best purchase ever #324,Positive
The order number was updated #850,Neutral
The quality is very poor #135,Negative
This is the worst purchase ever #498,Negative
The experience was disappointing #227,Negative
This is the worst purchase ever #595,Negative
I really enjoyed the service #338,Positive
Customer support was rude #540,Negative
I used the app today #332,Neutral
The train arrived on time #206,Neutral
The report was submitted #930,Neutral
The event starts tomorrow #495,Neutral
The product arrived yesterday #345,Neutral
Delivery was delayed badly #505,Negative
The item is available online #363,Neutral
The meeting was scheduled #559,Neutral
The experience was wonderful #263,Positive
I am unhappy with the purchase #467,Negative
Customer support was rude #620,Negative
The class begins at nine #849,Neutral
Customer support was helpful #781,Positive
I used the app today #144,Neutral
I would highly recommend this #503,Positive
I would never recommend this #821,Negative
Delivery was fast and smooth #485,Positive
The payment was processed #269,Neutral
The report was submitted #30,Neutral
Everything failed my expectations #317,Negative
The package contains accessories #639,Neutral
The product arrived yesterday #326,Neutral
I hated the service #312,Negative
This product is amazing #101,Positive
The account was created #790,Neutral
The movie was boring #159,Negative
I disliked the performance #94,Negative
I would highly recommend this #957,Positive
The food tasted delicious #127,Positive
This product is terrible #311,Negative
The experience was wonderful #295,Positive
The design looks beautiful #734,Positive
I used the app today #439,Neutral
The experience was disappointing #255,Negative
This is the best purchase ever #48,Positive
The app crashes often #601,Negative
I used the app today #880,Neutral
This is the worst purchase ever #291,Negative
The system is running normally #876,Neutral
I am very happy with the purchase #870,Positive
This is the best purchase ever #164,Positive
I would highly recommend this #699,Positive
I am very happy with the purchase #378,Positive
I really enjoyed the service #774,Positive
The experience was wonderful #474,Positive
The quality is very poor #164,Negative
This product is amazing #261,Positive
Delivery was delayed badly #171,Negative
This product is amazing #293,Positive
The package contains accessories #49,Neutral
I really enjoyed the service #265,Positive
Customer support was rude #650,Negative
Customer support was rude #157,Negative
The message was delivered #368,Neutral
I used the app today #416,Neutral
The experience was disappointing #792,Negative
This is the worst purchase ever #13,Negative
The app crashes often #137,Negative
Everything exceeded my expectations #644,Positive
The app works perfectly #464,Positive
The quality is excellent #962,Positive
This product is terrible #439,Negative
The quality is very poor #842,Negative
The food tasted delicious #15,Positive
I would highly recommend this #766,Positive
The design looks outdated #934,Negative
The experience was disappointing #91,Negative
The experience was disappointing #524,Negative
The design looks beautiful #829,Positive
I am unhappy with the purchase #984,Negative
Customer support was helpful #133,Positive
The design looks beautiful #231,Positive
I am very happy with the purchase #110,Positive
The app works perfectly #136,Positive
The event starts tomorrow #925,Neutral
I am very happy with the purchase #342,Positive
The report was submitted #750,Neutral
The report was submitted #112,Neutral
I would never recommend this #127,Negative
This is the worst purchase ever #826,Negative
Everything exceeded my expectations #117,Positive
I really enjoyed the service #630,Positive
The message was delivered #298,Neutral
This product is amazing #677,Positive
The report was submitted #147,Neutral
The food tasted delicious #181,Positive
The account was created #22,Neutral
I would highly recommend this #913,Positive
The meeting was scheduled #234,Neutral
The package contains accessories #458,Neutral
Everything exceeded my expectations #332,Positive
The meeting was scheduled #810,Neutral
Customer support was rude #544,Negative
The event starts tomorrow #27,Neutral
I would highly recommend this #845,Positive
The package contains accessories #278,Neutral
The quality is excellent #284,Positive
The quality is excellent #642,Positive
Everything failed my expectations #558,Negative
I would highly recommend this #95,Positive
The movie was boring #364,Negative
The product arrived yesterday #123,Neutral
The event starts tomorrow #566,Neutral
The meeting was scheduled #489,Neutral
I am unhappy with the purchase #947,Negative
The quality is very poor #198,Negative
Delivery was fast and smooth #963,Positive
The system is running normally #270,Neutral
The payment was processed #520,Neutral
Everything failed my expectations #799,Negative
I really enjoyed the service #399,Positive
The quality is very poor #996,Negative
This product is terrible #145,Negative
The app works perfectly #696,Positive
The product arrived yesterday #975,Neutral
The movie was fantastic #990,Positive
The event starts tomorrow #870,Neutral
This product is terrible #849,Negative
The design looks beautiful #773,Positive
I used the app today #281,Neutral
The quality is very poor #90,Negative
I am very happy with the purchase #896,Positive
I would highly recommend this #698,Positive
I disliked the performance #689,Negative
Everything failed my expectations #420,Negative
The event starts tomorrow #424,Neutral
I would never recommend this #893,Negative
I used the app today #61,Neutral
The app works perfectly #273,Positive
I am very happy with the purchase #290,Positive
The app crashes often #506,Negative
I loved the performance #538,Positive
The app works perfectly #580,Positive
Delivery was fast and smooth #818,Positive
The account was created #957,Neutral
The account was created #482,Neutral
Delivery was delayed badly #880,Negative
The design looks outdated #691,Negative
I disliked the performance #675,Negative
Customer support was helpful #735,Positive
The payment was processed #258,Neutral
I really enjoyed the service #982,Positive
The product arrived yesterday #932,Neutral
The file was uploaded successfully #14,Neutral
Delivery was fast and smooth #608,Positive
The class begins at nine #196,Neutral
The experience was disappointing #770,Negative
Customer support was helpful #886,Positive
Everything exceeded my expectations #304,Positive
Delivery was delayed badly #851,Negative
The account was created #529,Neutral
The experience was wonderful #81,Positive
The account was created #590,Neutral
I hated the service #184,Negative
The app works perfectly #195,Positive
The app crashes often #349,Negative
This is the worst purchase ever #808,Negative
I loved the performance #22,Positive
I really enjoyed the service #885,Positive
Everything exceeded my expectations #108,Positive
I used the app today #344,Neutral
Customer support was helpful #364,Positive
The app crashes often #989,Negative
The meeting was scheduled #919,Neutral
The account was created #815,Neutral
I used the app today #79,Neutral
The food tasted awful #588,Negative
This product is amazing #881,Positive
The report was submitted #433,Neutral
The quality is excellent #892,Positive
The item is available online #560,Neutral
The file was uploaded successfully #15,Neutral
Customer support was helpful #340,Positive
The meeting was scheduled #132,Neutral
The app crashes often #118,Negative
I would never recommend this #479,Negative
I would highly recommend this #640,Positive
I loved the performance #570,Positive
The movie was fantastic #516,Positive
Delivery was fast and smooth #277,Positive
I am unhappy with the purchase #473,Negative
Delivery was delayed badly #949,Negative
The design looks outdated #293,Negative
Customer support was helpful #30,Positive
The file was uploaded successfully #527,Neutral
The report was submitted #186,Neutral
The order number was updated #668,Neutral
The quality is very poor #952,Negative
The report was submitted #836,Neutral
The train arrived on time #670,Neutral
Delivery was fast and smooth #310,Positive
The class begins at nine #459,Neutral
The app crashes often #133,Negative
Everything exceeded my expectations #955,Positive
The food tasted awful #812,Negative
This product is terrible #520,Negative
I am very happy with the purchase #196,Positive
The item is available online #361,Neutral
The experience was wonderful #825,Positive
I disliked the performance #395,Negative
The payment was processed #533,Neutral
The design looks beautiful #67,Positive
I would never recommend this #617,Negative
The quality is very poor #712,Negative
The event starts tomorrow #956,Neutral
The quality is excellent #782,Positive
The movie was boring #716,Negative
The food tasted awful #296,Negative
This product is amazing #204,Positive
The file was uploaded successfully #780,Neutral
The file was uploaded successfully #906,Neutral
The class begins at nine #449,Neutral
I loved the performance #939,Positive
The experience was wonderful #174,Positive
The item is available online #13,Neutral
The system is running normally #378,Neutral
I would highly recommend this #44,Positive
The payment was processed #669,Neutral
The food tasted awful #302,Negative
The food tasted awful #700,Negative
Delivery was delayed badly #877,Negative
The experience was disappointing #422,Negative
The package contains accessories #530,Neutral
The file was uploaded successfully #289,Neutral
The food tasted awful #583,Negative
The product arrived yesterday #494,Neutral
I used the app today #33,Neutral
I loved the performance #83,Positive
The event starts tomorrow #321,Neutral
The system is running normally #675,Neutral
Delivery was delayed badly #667,Negative
I would never recommend this #718,Negative
The movie was boring #337,Negative
I really enjoyed the service #281,Positive
I would never recommend this #380,Negative
The app crashes often #454,Negative
I used the app today #568,Neutral
The message was delivered #762,Neutral
I disliked the performance #985,Negative
The package contains accessories #128,Neutral
The movie was fantastic #973,Positive
I loved the performance #942,Positive
This is the worst purchase ever #285,Negative
This product is amazing #737,Positive
The movie was fantastic #657,Positive
I loved the performance #453,Positive
I am unhappy with the purchase #590,Negative
The package contains accessories #593,Neutral
The meeting was scheduled #804,Neutral
Everything exceeded my expectations #597,Positive
I would never recommend this #672,Negative
I would never recommend this #605,Negative
The account was created #862,Neutral
The product arrived yesterday #528,Neutral
The item is available online #294,Neutral
I would highly recommend this #927,Positive
I am unhappy with the purchase #443,Negative
Everything exceeded my expectations #794,Positive
Everything exceeded my expectations #555,Positive
Everything failed my expectations #959,Negative
The file was uploaded successfully #124,Neutral
I disliked the performance #788,Negative
I used the app today #348,Neutral
The movie was fantastic #7,Positive
The product arrived yesterday #867,Neutral
The package contains accessories #409,Neutral
The design looks outdated #242,Negative
The meeting was scheduled #701,Neutral
This product is amazing #409,Positive
The food tasted delicious #954,Positive
I would never recommend this #928,Negative
The experience was wonderful #46,Positive
I loved the performance #931,Positive
I loved the performance #795,Positive
This is the worst purchase ever #267,Negative
The file was uploaded successfully #575,Neutral
The movie was fantastic #432,Positive
The movie was boring #765,Negative
I am unhappy with the purchase #670,Negative
I am unhappy with the purchase #791,Negative
This is the best purchase ever #245,Positive
This is the worst purchase ever #202,Negative
This product is amazing #702,Positive
Customer support was helpful #643,Positive
The experience was wonderful #888,Positive
The order number was updated #625,Neutral
The app crashes often #859,Negative
The quality is excellent #303,Positive
The meeting was scheduled #786,Neutral
The file was uploaded successfully #603,Neutral
I am very happy with the purchase #721,Positive
I loved the performance #243,Positive
The quality is very poor #645,Negative
The app crashes often #999,Negative
The account was created #153,Neutral
The message was delivered #944,Neutral
The design looks beautiful #241,Positive
I am very happy with the purchase #377,Positive
The system is running normally #501,Neutral
Delivery was fast and smooth #591,Positive
The train arrived on time #844,Neutral
The event starts tomorrow #367,Neutral
I loved the performance #819,Positive
I would highly recommend this #806,Positive
The item is available online #855,Neutral
The experience was wonderful #838,Positive
The app crashes often #536,Negative
I am very happy with the purchase #463,Positive
The event starts tomorrow #881,Neutral
The report was submitted #947,Neutral
The meeting was scheduled #181,Neutral
I am unhappy with the purchase #635,Negative
The food tasted awful #570,Negative
I disliked the performance #346,Negative
The app crashes often #156,Negative
I used the app today #555,Neutral
The meeting was scheduled #316,Neutral
The food tasted awful #141,Negative
I disliked the performance #358,Negative
The order number was updated #386,Neutral
The event starts tomorrow #800,Neutral
The system is running normally #792,Neutral
The account was created #299,Neutral
The meeting was scheduled #267,Neutral
The meeting was scheduled #126,Neutral
The account was created #380,Neutral
The train arrived on time #89,Neutral
Delivery was delayed badly #374,Negative
The order number was updated #187,Neutral
Delivery was delayed badly #32,Negative
The movie was fantastic #715,Positive
Customer support was helpful #33,Positive
The meeting was scheduled #772,Neutral
The experience was wonderful #841,Positive
The design looks beautiful #394,Positive
I loved the performance #937,Positive
I used the app today #814,Neutral
The food tasted delicious #747,Positive
The class begins at nine #569,Neutral
The app crashes often #283,Negative
The item is available online #134,Neutral
The movie was boring #258,Negative
The design looks outdated #353,Negative
I would never recommend this #357,Negative
The app works perfectly #172,Positive
I am very happy with the purchase #972,Positive
The quality is excellent #488,Positive
I am unhappy with the purchase #415,Negative
The report was submitted #938,Neutral
This is the worst purchase ever #552,Negative
This product is terrible #185,Negative
The item is available online #493,Neutral
The quality is very poor #220,Negative
The payment was processed #177,Neutral
The meeting was scheduled #452,Neutral
The experience was disappointing #437,Negative
This product is amazing #438,Positive
I would never recommend this #775,Negative
The design looks outdated #290,Negative
The message was delivered #623,Neutral
The order number was updated #726,Neutral
The experience was wonderful #143,Positive
Everything failed my expectations #616,Negative
The class begins at nine #838,Neutral
The system is running normally #585,Neutral
I really enjoyed the service #180,Positive
The item is available online #848,Neutral
The event starts tomorrow #872,Neutral
The quality is very poor #706,Negative
The design looks outdated #621,Negative
This is the worst purchase ever #113,Negative
The design looks outdated #355,Negative
The meeting was scheduled #374,Neutral
The package contains accessories #700,Neutral
The design looks beautiful #392,Positive
The event starts tomorrow #256,Neutral
The meeting was scheduled #964,Neutral
The food tasted delicious #638,Positive
The experience was disappointing #54,Negative
Delivery was delayed badly #124,Negative
I loved the performance #710,Positive
This product is amazing #458,Positive
The event starts tomorrow #125,Neutral
The app crashes often #68,Negative
I disliked the performance #913,Negative
This product is amazing #776,Positive
The train arrived on time #4,Neutral
The food tasted awful #76,Negative
The food tasted awful #937,Negative
The food tasted awful #648,Negative
The package contains accessories #39,Neutral
I would highly recommend this #145,Positive
The food tasted delicious #958,Positive
The file was uploaded successfully #882,Neutral
The app crashes often #615,Negative
This product is terrible #539,Negative
Customer support was helpful #298,Positive
The app crashes often #951,Negative
I would never recommend this #682,Negative
Delivery was fast and smooth #606,Positive
The item is available online #505,Neutral
The app crashes often #701,Negative
The event starts tomorrow #52,Neutral
The message was delivered #816,Neutral
I am very happy with the purchase #1000,Positive
I disliked the performance #622,Negative
Everything exceeded my expectations #956,Positive
Customer support was rude #529,Negative
The event starts tomorrow #888,Neutral
The food tasted delicious #456,Positive
I would never recommend this #653,Negative
The order number was updated #415,Neutral
I disliked the performance #606,Negative
The event starts tomorrow #564,Neutral
The report was submitted #996,Neutral
The order number was updated #254,Neutral
The experience was wonderful #123,Positive
Everything exceeded my expectations #194,Positive
I am unhappy with the purchase #738,Negative
I am unhappy with the purchase #219,Negative
The account was created #922,Neutral
Customer support was helpful #536,Positive
I am very happy with the purchase #358,Positive
I would never recommend this #848,Negative
I am very happy with the purchase #16,Positive
The account was created #698,Neutral
I loved the performance #208,Positive
Customer support was helpful #576,Positive
Everything exceeded my expectations #686,Positive
The quality is excellent #525,Positive
The payment was processed #164,Neutral
I used the app today #75,Neutral
The system is running normally #833,Neutral
The app crashes often #149,Negative
The event starts tomorrow #86,Neutral
Customer support was helpful #568,Positive
This product is terrible #378,Negative
The account was created #805,Neutral
Delivery was fast and smooth #345,Positive
I disliked the performance #471,Negative
Customer support was helpful #600,Positive
I loved the performance #915,Positive
The class begins at nine #244,Neutral
This is the worst purchase ever #128,Negative
The app crashes often #150,Negative
I loved the performance #704,Positive
The product arrived yesterday #735,Neutral
Customer support was helpful #914,Positive
The food tasted awful #342,Negative
The quality is very poor #531,Negative
The train arrived on time #391,Neutral
The quality is excellent #574,Positive
I am unhappy with the purchase #840,Negative
The item is available online #335,Neutral
The product arrived yesterday #759,Neutral
The account was created #359,Neutral
I am very happy with the purchase #66,Positive
The account was created #620,Neutral
I disliked the performance #254,Negative
Customer support was helpful #319,Positive
The system is running normally #304,Neutral
The payment was processed #614,Neutral
This product is terrible #873,Negative
The experience was disappointing #644,Negative
This product is terrible #974,Negative
The item is available online #277,Neutral
I disliked the performance #969,Negative
I used the app today #207,Neutral
The account was created #336,Neutral
I used the app today #346,Neutral
This product is terrible #847,Negative
The quality is very poor #888,Negative
The experience was wonderful #894,Positive
The experience was wonderful #647,Positive
I hated the service #933,Negative
The item is available online #93,Neutral
The quality is excellent #834,Positive
The report was submitted #795,Neutral
The app works perfectly #895,Positive
The message was delivered #19,Neutral
I used the app today #511,Neutral
The system is running normally #571,Neutral
